,pontoId,lat,lon,lat_pred,lon_pred,erro_loc
699,2164,-8.067269,-34.893921,-8.067166,-34.894138,26.50227574001762
1264,947,-8.072491000000001,-34.896778000000005,-8.072493,-34.896770000000004,0.9086732380090807
302,518,-8.074629,-34.890263,-8.074954,-34.891327000000004,122.62472780684487
1048,553,-8.07445,-34.890178999999996,-8.074463,-34.890217,4.427605986174733
1164,819,-8.072894,-34.895462,-8.072796,-34.895218,28.99791443514019
948,2396,-8.065822,-34.890881,-8.064615684210526,-34.89136681578947,144.45192680064554
722,983,-8.072402,-34.893658,-8.072292315789472,-34.893657657894735,12.200214617309953
1167,16,-8.07752,-34.899162,-8.077503,-34.899101,6.978759814961482
811,1225,-8.070791,-34.892506,-8.070742999999998,-34.892551,7.2845649117413585
362,67,-8.077314,-34.898666,-8.077408,-34.898979,36.02040223014188
363,237,-8.076331,-34.899753999999994,-8.075586999999999,-34.89999,86.7402139487985
526,507,-8.074711,-34.890541,-8.074954,-34.891327000000004,90.68167907784255
1146,1174,-8.071078,-34.891815,-8.070877000000001,-34.891769000000004,22.923950313695894
725,1394,-8.070131,-34.889793,-8.06987,-34.890347,67.56592116846518
329,2450,-8.065789,-34.890377,-8.065794,-34.890147999999996,25.22578781795598
1050,614,-8.074129,-34.89983,-8.074259,-34.900318,55.65338526464982
656,364,-8.07565,-34.896221000000004,-8.075498,-34.896271,17.781007852405324
860,2573,-8.06489,-34.889542,-8.064793,-34.889526000000004,10.932235533106457
1169,377,-8.075569,-34.896248,-8.076130631578948,-34.8959485,70.64276502920772
1483,1399,-8.07012,-34.900906,-8.070302,-34.900936,20.51165661254074
1128,1341,-8.070412,-34.897163,-8.070373157894736,-34.89709392105263,8.748747544529039
92,1681,-8.069355999999999,-34.896477000000004,-8.069416,-34.896473,6.688312608955791
991,877,-8.072639,-34.896709,-8.072575,-34.896732,7.555910707696415
494,2339,-8.066155,-34.893528,-8.066267,-34.893406,18.322544909107137
1019,2291,-8.066568,-34.896744,-8.066794999999999,-34.896458,40.36805342033122
72,2737,-8.063597,-34.89587,-8.06269652631579,-34.8959485,100.53194950149236
1140,2340,-8.066152,-34.889041999999996,-8.066082000000002,-34.888832,24.402653484468352
1200,802,-8.072932000000002,-34.895802,-8.072897,-34.895874,8.833332333939826
1072,2612,-8.06445,-34.894356,-8.064395,-34.894382,6.754587772683804
983,1290,-8.070594,-34.896706,-8.071,-34.896893,49.63340372718249
160,355,-8.075703,-34.899944,-8.074211473684212,-34.90167560526316,252.7621490357147
120,1918,-8.068705,-34.896285999999996,-8.069139,-34.895782000000004,73.56046484578455
583,2283,-8.066616,-34.895148999999996,-8.066417,-34.895592,53.57373920997986
750,1702,-8.069293,-34.8965,-8.069239999999999,-34.897385,97.64189793107566
615,174,-8.07653,-34.896267,-8.076554,-34.896343,8.785035454501147
111,2259,-8.066758,-34.89563,-8.066821000000001,-34.895683,9.119954967444695
1287,1720,-8.06926,-34.888073,-8.069413578947369,-34.88793055263157,23.192933784118125
225,1367,-8.070281,-34.897293,-8.070102,-34.897385,22.33981052843679
1479,928,-8.072527000000001,-34.896271,-8.072363000000001,-34.89642,24.53600381145875
11,2797,-8.062985000000001,-34.888584,-8.063421,-34.888821,55.07392294488636
378,1203,-8.070867999999999,-34.891937,-8.070855,-34.891991,6.120189688728328
134,1144,-8.07126,-34.890694,-8.070965,-34.890694,32.81280080281587
974,279,-8.076114,-34.894791,-8.076221,-34.895134000000006,39.60405795910907
1485,630,-8.074041000000001,-34.900433,-8.073599,-34.900524,50.174599128671225
1271,2272,-8.066686,-34.89278,-8.066463,-34.892998,34.52019585540054
1115,2588,-8.064748,-34.885078,-8.064696000000001,-34.885094,6.046404497174541
1484,1245,-8.070731,-34.892284000000004,-8.070699000000001,-34.892128,17.544833336939522
774,1761,-8.069155,-34.888191,-8.068893,-34.888740999999996,67.21669178744459
482,1401,-8.070114,-34.889782000000004,-8.070373157894736,-34.89022139473684,56.32508627011979
757,2377,-8.065846,-34.896938,-8.065907000000001,-34.896941999999996,6.799305118569157
1237,1243,-8.070735,-34.891746999999995,-8.070808,-34.891762,8.286111205476086
242,1149,-8.071233,-34.892025,-8.071203,-34.892014,3.5499828500460033
370,541,-8.074502,-34.900290999999996,-8.074822,-34.900211,36.66769154121463
1147,97,-8.077114,-34.899471000000005,-8.077090210526315,-34.900530184210524,116.6741760285644
685,756,-8.073167,-34.896305,-8.072855,-34.895336,112.21468767273016
600,788,-8.072995,-34.896603000000006,-8.072903,-34.896633,10.753256241567492
717,1338,-8.070422,-34.897129,-8.070457000000001,-34.897059999999996,8.538049526008729
836,492,-8.074843,-34.89098,-8.07478,-34.890759,25.326799346602705
129,2748,-8.063547999999999,-34.895119,-8.063569000000001,-34.895435,34.879416856426225
1364,1857,-8.068869,-34.890716999999995,-8.067794000000001,-34.89048,122.38757159686307
531,914,-8.072553,-34.900673,-8.072844,-34.900635,32.63729028637699
1055,2494,-8.065516,-34.886932,-8.065466,-34.886803,15.256506321796651
824,1670,-8.069386,-34.889538,-8.069313000000001,-34.889553,8.286112364237399
535,2770,-8.063305999999999,-34.901398,-8.063394,-34.901416999999995,10.009385552019147
277,393,-8.075491,-34.892986,-8.075448,-34.892918,8.88569080181086
1311,1953,-8.068624,-34.889545,-8.069413578947369,-34.889075973684214,101.88836769324551
100,2442,-8.065791,-34.893631,-8.065782,-34.89365,2.319596841808332
190,1195,-8.070925,-34.891781,-8.071026,-34.891804,11.51622165474921
131,2368,-8.0659,-34.888290000000005,-8.066534842105263,-34.88793055263157,80.95232405229746
657,1233,-8.070765,-34.892612,-8.070758,-34.892719,11.809407300623695
1004,2802,-8.062928,-34.887085,-8.062466,-34.887657,81.29612366730775
650,2701,-8.063788,-34.901455,-8.063656105263158,-34.900530184210524,102.90119067667
1306,871,-8.07265,-34.894852,-8.072694,-34.895016,18.712284010883906
781,1989,-8.068567999999999,-34.896793,-8.069466,-34.895191,202.7388596074382
1462,2522,-8.065298,-34.886345,-8.065269,-34.886265,9.382300341117089
1228,951,-8.072482,-34.892296,-8.072473,-34.892658000000004,39.878787671253946
496,2609,-8.064489,-34.894333,-8.064395,-34.894382,11.76606998926678
754,974,-8.072412,-34.893745,-8.072292315789472,-34.893657657894735,16.42383960798262
1197,1799,-8.069052000000001,-34.888424,-8.068994,-34.888538,14.115212650281146
899,927,-8.07253,-34.896248,-8.072407,-34.896358,18.2736758232848
1148,1172,-8.071087,-34.891975,-8.07109,-34.891979,0.5526298198423737
1125,571,-8.07432,-34.900345,-8.074211473684212,-34.900530184210524,23.698641813692035
1392,2875,-8.062078,-34.901878,-8.061922000000001,-34.901936,18.490210961708442
740,2474,-8.065656,-34.887474,-8.064615684210526,-34.88793055263157,126.16593421000682
884,2866,-8.062255,-34.88792,-8.062397,-34.887764000000004,23.33741539047374
1063,657,-8.073812,-34.898548,-8.073872,-34.89875,23.225231555818265
1284,211,-8.076408,-34.899731,-8.076324000000001,-34.899753999999994,9.680548102044769
86,1258,-8.070692,-34.900883,-8.071021,-34.900837,36.94359397319956
1335,1812,-8.069006,-34.899876,-8.068454,-34.8993847631579,81.83246727359007
1438,2180,-8.067159,-34.893925,-8.067173,-34.893955,3.6524662225323103
391,1186,-8.070982,-34.891933,-8.07109,-34.891979,13.037298350829214
83,2111,-8.067933,-34.89233,-8.067917,-34.892326000000004,1.8333863418193788
557,385,-8.075521,-34.900009000000004,-8.075171052631578,-34.900530184210524,69.35034532627864
1391,1165,-8.071119,-34.891998,-8.071203,-34.892014,9.508006221661404
519,375,-8.075582,-34.89315,-8.075448,-34.893459,37.15022607739358
503,1074,-8.071855000000001,-34.890694,-8.070661999999999,-34.891777000000005,178.41959779045135
1088,1083,-8.071765,-34.891987,-8.071995,-34.892029,25.997631675050883
660,1200,-8.070891,-34.896839,-8.070902,-34.896846999999994,1.507722140106337
879,2902,-8.061283999999999,-34.903976,-8.06173694736842,-34.90396644736842,50.39224313190338
498,1270,-8.070659,-34.892033000000005,-8.07068,-34.892047999999996,2.860932326639242
1254,2383,-8.065833,-34.887989000000005,-8.065814,-34.887939,5.89810000458342
693,131,-8.076878,-34.899547999999996,-8.076097,-34.899826000000004,92.1074029884847
308,432,-8.075367,-34.900040000000004,-8.075467999999999,-34.900024,11.371556413427026
736,2822,-8.06272,-34.901363,-8.062807000000001,-34.901356,9.707654068275469
593,1692,-8.069324,-34.89904,-8.069413578947369,-34.8993847631579,39.25387964342242
457,1238,-8.070745,-34.892376,-8.070737,-34.892319,6.340060653531957
1177,2115,-8.067905999999999,-34.896679,-8.067200999999999,-34.896770000000004,79.05483078798787
592,497,-8.074799,-34.900253,-8.074397,-34.90033,45.51135819943983
895,796,-8.072941,-34.896392999999996,-8.072292315789472,-34.89709392105263,105.66209278183247
1464,2286,-8.066605000000001,-34.89539,-8.066794999999999,-34.896458,119.50161781219448
244,1397,-8.070124,-34.890696999999996,-8.070537,-34.890694,45.93910916956492
551,2929,-8.060599,-34.905338,-8.060549,-34.905396,8.469447556156
1026,2871,-8.062217,-34.88805,-8.062397,-34.887764000000004,37.32205464713112
916,803,-8.072932000000002,-34.890682,-8.073251894736842,-34.89136681578947,83.38944938822723
1201,1810,-8.069011,-34.899857,-8.068454,-34.8993847631579,80.88964454114482
1179,1907,-8.06873,-34.889065,-8.068994,-34.888538,65.04361091828525
1121,1516,-8.06978,-34.890465,-8.070103999999999,-34.889866,75.16915810612996
1252,2182,-8.067150999999999,-34.894165,-8.066756,-34.892712,165.93980962412815
1487,689,-8.073621000000001,-34.897831,-8.073685000000001,-34.898045,24.618926623708624
581,942,-8.072495,-34.892353,-8.071845,-34.892196999999996,74.312529703869
436,1927,-8.068686,-34.898205,-8.068454,-34.89823934210526,26.08099946209108
1099,1762,-8.069154,-34.88821,-8.069208999999999,-34.888126,11.090664714895516
207,1098,-8.071628,-34.90078,-8.07152,-34.900784,12.020896085838851
256,127,-8.076911,-34.899551,-8.076188,-34.899788,84.54852263404703
141,2139,-8.067629,-34.896716999999995,-8.067552000000001,-34.89674,8.931403073518558
297,829,-8.072861,-34.896640999999995,-8.072986,-34.896614,14.218124151424286
741,552,-8.074457,-34.900303,-8.074483,-34.900295,3.0231960554952035
17,643,-8.073932000000001,-34.898983,-8.073972,-34.899136,17.42699314260193
698,2406,-8.065813,-34.89069,-8.06581,-34.890671000000005,2.1189005411728643
927,13,-8.077538,-34.899231,-8.077503,-34.899101,14.836295735741563
950,1412,-8.070072,-34.889942,-8.06987,-34.890347,49.94164100668798
790,143,-8.076777,-34.897064,-8.076448,-34.895846999999996,138.9302088633259
1385,2883,-8.061679,-34.90205,-8.06173694736842,-34.90282102631579,85.15787780110617
1149,2407,-8.065813,-34.890029999999996,-8.065792,-34.8904,40.81480970187799
259,534,-8.074529,-34.900295,-8.074089,-34.900421,50.87020685221141
1389,2075,-8.068146,-34.892071,-8.068199,-34.89196,13.571541667793056
1424,1277,-8.070637,-34.891819,-8.070677,-34.891838,4.916666261754142
220,36,-8.077442,-34.899353000000005,-8.077133,-34.899448,35.92703330294736
217,2033,-8.068441,-34.896912,-8.069466,-34.895191,221.17992979410795
804,1790,-8.069077,-34.900504999999995,-8.06893,-34.900448,17.514367846731936
802,1314,-8.070501,-34.896263,-8.070948,-34.895863,66.42714767505976
1387,1664,-8.069396000000001,-34.895740999999994,-8.06953,-34.895804999999996,16.48728170181492
85,2444,-8.065791,-34.890427,-8.065789,-34.890495,7.49210971941451
1470,2388,-8.065831,-34.891659000000004,-8.065823,-34.891258,44.17089117738166
770,1945,-8.06865,-34.896511,-8.068616,-34.896603000000006,10.814636615615578
1045,1802,-8.069036,-34.891251000000004,-8.068077,-34.890667,124.55844715957272
905,582,-8.07427,-34.900341,-8.074231,-34.900223,13.69993421763245
951,745,-8.073203999999999,-34.890629,-8.073153999999999,-34.890617,5.716347675604596
1108,1041,-8.072076,-34.896996,-8.072767,-34.896,133.93546955551778
